iteracija,zavrsetak_projekta,prekoracen_rok,T1_ucinak,T1_A1.2_ucinak,T2_ucinak,T3_ucinak,T3_A4.1_ucinak,T4_ucinak,T4_A4.1_ucinak,T5_ucinak,T5_A3.2_ucinak,T6_ucinak,T7_ucinak,T8_ucinak,T8_A3.1_ucinak,T8_A3.2_ucinak,T8_A4.1_ucinak,T8_A5.1_ucinak,T8_A5.2_ucinak,T9_ucinak,T9_A3.1_ucinak,P1_ucinak,P1_A5.2_ucinak
63,35.618858130928515,0,1.3737141778947435,0.5269012540120781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8358010446252994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3811418690714897,-0.31765141161685895
64,37.002608821175194,1,0.0,0.0,0.0,1.98976791623862,0.8851718907765697,0.0,0.0,0.0,0.0,0.8556487359832239,0.6646930533552146,0.1922259345194012,0.3196493824100616,0.4053041237356412,0.2102331369210328,0.3379157678199772,0.38836036568382293,0.0,0.0,0.0,0.0
65,39.62969267469152,1,1.2504783094338792,0.49513688587119653,0.0,2.626160971789666,0.6319874492520742,1.567173729983689,0.6176850665517593,3.3800201588876906,0.7660003014002175,0.7454706782050644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8190357444709758,-0.41275007134587804
66,35.53013850537397,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46986149462602916,-0.2965206089295662
67,36.208991795617465,1,0.9051449821927628,0.7373614770874457,0.0,1.1500703115209654,1.0020996807266072,0.0,0.0,0.0,0.0,0.9688878428041907,0.7437500570610911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5347582614436315,-0.30497911034195885
68,40.082075705154494,1,0.0,0.0,0.0,1.6434225299472471,1.4397384189898355,1.5843963297317274,0.6447465291667196,2.997590756997943,0.4318428476776423,0.7518229893261639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,39.94617366367886,1,0.0,0.0,0.0,2.7221345117001983,1.8129067540633381,1.101007969310273,0.5355555434777975,2.597711366137723,0.507558770664636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.693092509663165,-0.359070738965509
70,37.17042572829016,1,0.0,0.0,0.0,3.1481858641427465,0.7684612164334188,1.1637942955892615,0.3625153991022576,1.0394491127544911,0.5402378303789541,0.0,0.9290284648616355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7715276058419771,-0.36700549257585663
71,36.9416612116384,1,0.0,0.0,0.0,2.0939278889906934,1.3728607285136414,1.3904865642582842,0.5688004831247548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,35.54653105832419,0,0.7539424395078713,0.43180932578294606,0.0,0.0,0.0,1.87992788017497,0.41039672950450024,0.0,0.0,0.628878723065119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45346894167581236,-0.31454754762879605
